SIPARIS_NO;PARA_BIRIMI;TOPLAM;TOPLAM_TRY
S.ACM.GAN.000071;TL;81000;81000
S.ACM.GNN.000125;EUR;56174.47;2920733.634898352
S.ACM.GNN.000125;EUR;11244.93;584668.5384495398
S.ACM.GNN.000131;USD;3490.49;151648.3468740496
S.ACM.GNN.000131;USD;2197.72;95482.46947908067
S.ACM.GNN.000131;USD;13789.6;599105.009340922
S.ACM.GNN.000131;USD;5171.1;224664.37850284574
S.ACM.GNN.000131;USD;1034.22;44932.875700569144
S.ACM.GNN.000131;USD;6463.88;280830.69035929965
S.ACM.GNN.000131;USD;1422.05;61782.59547291133
S.ACM.GNN.000131;USD;28441.05;1235654.0817656515
S.ACM.GNN.000131;USD;4653.99;202197.94065256114
S.ACM.GNN.000132;EUR;16315.2;848291.9981282172
0050059315;TL;0;0
0050059315;TL;16200;16200
T202600000000233;EUR;2009.15;104463.6822128633
T202600000000186;EUR;3013.72;156695.26334945144
T202600000000233;EUR;7032.02;365622.6277751781
T202600000000186;EUR;5022.87;261158.94556231477
T202600000000186;EUR;5022.87;261158.94556231477
T202600000000186;EUR;7032.02;365622.6277751781
T202600000000186;EUR;3516.01;182811.31388758906
T202600000000233;EUR;5022.87;261158.94556231477
T202600000000186;EUR;2511.44;130579.73275100088
TI12026000000767;TL;53000;53000
TI12026000000795;TL;53000;53000
TI12026000000067;TL;19000;19000
TI12026000000563;TL;18500;18500
2026/017;TL;2639;2639
2026/035;TL;5566;5566
2026/035;TL;790;790
2026/035;TL;8900;8900
2026/035;TL;660;660
2026/035;TL;24222;24222
2026/005;TL;22845;22845
2026/005;TL;4652;4652
2026/005;TL;8840;8840
2026/005;TL;464;464
2026/005;TL;5500;5500
2026/005;TL;42986;42986
2026/005;TL;2250;2250
2026/017;TL;8950;8950
2026/005;TL;665;665
2026/005;TL;9745;9745
2026/005;TL;38884;38884
2026/005;TL;3440;3440
2026/005;TL;19760;19760
2026/017;TL;3000;3000
2026/005;TL;1056;1056
2026/017;TL;4500;4500
2026/017;TL;4500;4500
2026/017;TL;17934;17934
2026/017;TL;870;870
2026/035;TL;20000;20000
2026/017;TL;4875;4875
2026/017;TL;7745;7745
2026/017;TL;5330;5330
2026/017;TL;1530;1530
2026/017;TL;12540;12540
2026/035;TL;2850;2850
2026/017;TL;10578;10578
2026/017;TL;1150;1150
2026/017;TL;1644;1644
2026/017;TL;1125;1125
2026/017;TL;6368;6368
2026/035;TL;4654;4654
2026/035;TL;7500;7500
2026/035;TL;1700;1700
2026/035;TL;1350;1350
2026/035;TL;6156;6156
2026/035;TL;2200;2200
2026/035;TL;564;564
2026/035;TL;4960;4960
2026/035;TL;7530;7530
2026/035;TL;1370;1370
2026/035;TL;25566;25566
2026/035;TL;9880;9880
2026/035;TL;1180;1180
2026/035;TL;1760;1760
2026/035;TL;580;580
2026/035;TL;4500;4500
2026/035;TL;1960;1960
2026/035;TL;2986;2986
000000000000260;EUR;3745539.18;194745446.88816097
000000000000263;EUR;32696.04;1699996.880361878
000000000000263;EUR;30180.96;1569227.8895648103
000000000000261;TL;45247.41;45247.41
000000000000261;TL;10557.73;10557.73
000000000000263;EUR;0;0
000000000000262;EUR;90542.88;4707683.668694432
000000000000262;EUR;20120.64;1046151.9263765402
000000000000260;EUR;230958.18;12008432.381843705
250416T0037B;EUR;689131.92;35830703.478396505
250416T0037B;EUR;5467783.92;284291785.9928248
000000000000264;TL;10061.56;10061.56
000000000000264;TL;11067.72;11067.72
S.ACM.GKÇ.000071;TL;1100;1100
S.ACM.GKÇ.000071;TL;5500;5500
S.ACM.GKÇ.000071;TL;100650;100650
S.ACM.GKÇ.000092;TL;25300;25300
S.ACM.GKÇ.000092;TL;29700;29700
S.ACM.GKÇ.000092;TL;31900;31900
GP251217;TL;22000;22000
GP251217;TL;382000;382000
S.ACM.GAN.000069;EUR;55567.44;2889171.736078615
0000000000003630;TL;3418.5;3418.5
0000000000003628;TL;12000;12000
0000000000003628;TL;12000;12000
00003598;TL;1200;1200
0000000000003630;TL;3422.9;3422.9
S.ACM.GKÇ.000054;TL;14000;14000
S.ACM.GKÇ.000076;TL;7000;7000
S.ACM.GKÇ.000098;TL;5000;5000
S.ACM.GKÇ.000100;TL;5000;5000
S.ACM.GKÇ.000101;TL;7000;7000
*663237;USD;45385.94;1971844.2890037799
*663237;USD;900729.27;39133217.621757835
*663237;USD;2498.39;108545.42294825564
*663237;USD;88580.38;3848476.3435721425
S.ACM.GKÇ.000088;TL;5000;5000
S.ACM.GKÇ.000088;TL;5000;5000
S.ACM.GKÇ.000088;TL;36000;36000
S.ACM.GKÇ.000088;TL;2850;2850
S.ACM.GKÇ.000088;TL;10000;10000
S.ACM.GKÇ.000088;TL;10000;10000
S.ACM.GKÇ.000088;TL;220000;220000
ÖNCÜ28;TL;2100;2100
ÖNCÜ-28;TL;1600;1600
ÖNCÜ-28;TL;1200;1200
ÖNCÜ- 28;TL;2400;2400
ÖNCÜ- 28;TL;2625;2625
ÖNCÜ- 28;TL;3000;3000
ÖNCÜ-28;TL;8500;8500
ÖNCÜ-29;TL;7200;7200
ÖNCÜ-29;TL;660;660
ÖNCÜ-29;TL;5200;5200
ÖNCÜ-29;TL;2000;2000
ÖNCÜ-29;TL;3500;3500
A45;TL;2499.9;2499.9
A 44;TL;400;400
A45;TL;67500;67500
S.ACM.YNÇ.000004;TL;26400;26400
S.ACM.GKÇ.000091;TL;3500;3500
A44;TL;18000;18000
A 44;TL;5400;5400
S.ACM.GKÇ.000056;TL;1860;1860
000000000000352;TL;1400;1400
000000000002542;TL;35000;35000
000000000002542;TL;35000;35000
000000000002542;TL;31250;31250
000000000002542;TL;39375;39375
000000000002542;TL;35000;35000
000000000002542;TL;35000;35000
S.ACM.GKÇ.000047;TL;35000;35000
S.ACM.GKÇ.000058;TL;31500;31500
S.ACM.GKÇ.000058;TL;25000;25000
S.ACM.GKÇ.000058;TL;31500;31500
S.ACM.GKÇ.000073;TL;31500;31500
S.ACM.GKÇ.000073;TL;35437.5;35437.5
S.ACM.GKÇ.000073;TL;25000;25000
S.ACM.GKÇ.000073;TL;25000;25000
S.ACM.GKÇ.000047;TL;35000;35000
S.ACM.GKÇ.000047;TL;35000;35000
S.ACM.GKÇ.000073;TL;3937.5;3937.5
S.ACM.GKÇ.000073;TL;3937.5;3937.5
S.ACM.GKÇ.000087;TL;25000;25000
S.ACM.GKÇ.000087;TL;25000;25000
S.ACM.GKÇ.000058;TL;31500;31500
S.ACM.GKÇ.000058;TL;31500;31500
S.ACM.GKÇ.000087;TL;25000;25000
S.ACM.GKÇ.000087;TL;25000;25000
S.ACM.GKÇ.000087;TL;25000;25000
S.ACM.GKÇ.000087;TL;25000;25000
S.ACM.GKÇ.000073;TL;25000;25000
S.ACM.GKÇ.000073;TL;48437.5;48437.5
S.ACM.GAN.000040;TL;750;750
S.ACM.GAN.000064;TL;300;300
S.ACM.GAN.000034;TL;1250;1250
S.ACM.GAN.000020;TL;200;200
S.ACM.GAN.000020;TL;200;200
S.ACM.GAN.000036;TL;1700;1700
S.ACM.GAN.000019;TL;50;50
S.ACM.GAN.000025;TL;1000;1000
S.ACM.GAN.000025;TL;1250;1250
S.ACM.GAN.000057;EUR;16704.07;868510.8927364425
S.ACM.GAN.000057;EUR;246.51;12817.033224145998
S.ACM.GAN.000057;EUR;246.51;12817.033224145998
S.ACM.GAN.000057;EUR;246.51;12817.033224145998
S.ACM.GAN.000017;TL;1181.82;1181.82
S.ACM.GAN.000026;TL;1181.82;1181.82
S.ACM.GAN.000061;TL;1181.82;1181.82
S.ACM.GAN.000043;TL;1181.82;1181.82
S.ACM.GAN.000043;TL;1181.82;1181.82
