FİRMA NUMARASI	FİRMA ADI	İŞ YERİ	AMBAR	TÜR	MALZEME/HİZMET KODU	MASRAF MERKEZİ	TALEP NUMARASI	TALEP EDEN	TALEP TARİHİ	TALEP ONAYLAYAN	TALEP ONAY TARİHİ	TALEP AÇIKLAMA	SİPARİŞ NUMARASI	SİPARİŞİ AÇAN	SİPARİŞ TARİHİ	SİPARİŞ ONAYLAYAN	SİPARİŞ ONAY TARİHİ	SİPARİŞ MALZEME	TESLİM EVRAK NO	TESLİM TARİHİ	CARİ ÜNVANI	TESLİM ALAN	AÇIKLAMA	MİKTAR	BİRİM	ÖDEME VADESİ	PARA BİRİMİ	BİRİM FİYAT	TOPLAM	FATURAYI KAYDEDEN	FATURA KAYDETME TARİHİ	FATURA TARİHİ	FATURA NO
55	2022-2026 ÖNCÜ ZEYTİNCİLİK GIDA VE SAN. TİC. A.Ş.	Merkez	Akhisar	HİZMET	730.02.001	PASLANMAZ MALZEMELER	T.055.000.000001	mehmet.urun	5.01.2026 13:03	Zehra Kılınç	6.01.2026 11:34	Bakım Onarım Giderleri Makina Tesisat - Akhisar	S.ZYT.MRK.000048	Zehra Kılınç	7.01.2026 15:55	AKHİSAR.MUHASEBE	7.01.2026 17:11	Bakım Onarım Giderleri Makina Tesisat - Akhisar			ÖZİMEKS SANAYİ ÜRÜNLERİ TİC. LTD. ŞTİ.		2 İNÇ PASLANMAZ NİPEL (BORULARDAKİ BUZLANMA İÇİN KULLANILICAKTIR) ACİL	4	Adet	60	TL	117,91	471,64	ali.karakus	16.01.2026 09:01	9.01.2026 00:00	OZM2026000000192
55	2022-2026 ÖNCÜ ZEYTİNCİLİK GIDA VE SAN. TİC. A.Ş.	Merkez	Akhisar	HİZMET	730.02.001	PASLANMAZ MALZEMELER	T.055.000.000001	mehmet.urun	5.01.2026 13:03	Zehra Kılınç	6.01.2026 11:34	Bakım Onarım Giderleri Makina Tesisat - Akhisar	S.ZYT.MRK.000048	Zehra Kılınç	7.01.2026 15:55	AKHİSAR.MUHASEBE	7.01.2026 17:11	Bakım Onarım Giderleri Makina Tesisat - Akhisar			ÖZİMEKS SANAYİ ÜRÜNLERİ TİC. LTD. ŞTİ.		1-1/2 Paslnmaz küresel vana (BORULARDAKİ BUZLANMA İÇİN KULLANILICAKTIR) ACİL	20	Adet	60	TL	879,34	17586,8	ali.karakus	16.01.2026 09:01	9.01.2026 00:00	OZM2026000000192
55	2022-2026 ÖNCÜ ZEYTİNCİLİK GIDA VE SAN. TİC. A.Ş.	Merkez	Akhisar	HİZMET	730.02.001	ELEKTRİK MALZEMELERİ	T.055.000.000024	mehmet.urun	7.01.2026 17:22	AKHİSAR.MUHASEBE	7.01.2026 17:31	Bakım Onarım Giderleri Makina Tesisat - Akhisar	S.ZYT.MRK.000049	Zehra Kılınç	7.01.2026 17:37	AKHİSAR.MUHASEBE	7.01.2026 17:47	Bakım Onarım Giderleri Makina Tesisat - Akhisar			FORM ELEKTRİK İNŞAAT MÜHENDİSLİK ANONİM ŞİRKETİ		GROWATT MAX125KTL3-XLV İNVERTER (YEDEK)	1	Adet	30	TL	150382,05	150382,05				
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gönen	Gönen	HİZMET	258.05.011	ÇEVRE HİZMETİ	T.032.003.000007	tunahan.ak	6.01.2026 08:51	murat.boztaş	6.01.2026 09:19	Çevre Düzenlemesi ve Bakımı -Gönen	S.ACM.GNN.000097	Semih Mutlu	7.01.2026 18:34	ali.baplı	13.01.2026 15:20	Çevre Düzenlemesi ve Bakımı -Gönen			HÜSEYİN GÖKOĞLU		3Kw Islak Kuru Vakumlu Süpürge Makinası	1	AD	01	TL	13125	13125	*			
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gaziantep	Gaziantep	HİZMET	730.01.030	TEMİZLİK MALZEMELERİ	T.032.000.000010	antepgıda	5.01.2026 17:48	okkes.yilmaz	6.01.2026 15:31	Muhtelif Üretim Giderleri- (Merkez)%10	S.ACM.GAN.000023	okkes.yilmaz	8.01.2026 11:17	irmak.kozlu	27.01.2026 13:08	Muhtelif Üretim Giderleri- (Merkez)%10			NEYUR KİMYA TEMİZLİK SANAYİ TİCARET LİMİTED ŞİRKETİ		metal basmalı çöp kovası 5 lt	2	AD	30	TL	380	760	*			
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gaziantep	Gaziantep	HİZMET	730.01.030	TEMİZLİK MALZEMELERİ	T.032.000.000014	antepgıda	6.01.2026 11:42	okkes.yilmaz	8.01.2026 11:19	Muhtelif Üretim Giderleri- (Merkez)%10	S.ACM.GAN.000024	okkes.yilmaz	8.01.2026 11:22	irmak.kozlu	27.01.2026 13:09	Muhtelif Üretim Giderleri- (Merkez)%10			NEYUR KİMYA TEMİZLİK SANAYİ TİCARET LİMİTED ŞİRKETİ		TEMİZ VE KİRLİ SU AYRIMI OLAN BİBER ÜRETİM VİLEDASI	1	AD	30	TL	1500	1500	*			
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gaziantep	Gaziantep	HİZMET	730.01.030	TEMİZLİK MALZEMELERİ	T.032.000.000014	antepgıda	6.01.2026 11:42	okkes.yilmaz	8.01.2026 11:19	Muhtelif Üretim Giderleri- (Merkez)%10	S.ACM.GAN.000024	okkes.yilmaz	8.01.2026 11:22	irmak.kozlu	27.01.2026 13:09	Muhtelif Üretim Giderleri- (Merkez)%10			NEYUR KİMYA TEMİZLİK SANAYİ TİCARET LİMİTED ŞİRKETİ		SİYAH ATLET POŞET 55*110 CM	25	KĞ	30	TL	45	1125	*			
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gaziantep	Gaziantep	HİZMET	730.01.030	TEMİZLİK MALZEMELERİ	T.032.000.000014	antepgıda	6.01.2026 11:42	okkes.yilmaz	8.01.2026 11:19	Muhtelif Üretim Giderleri- (Merkez)%10	S.ACM.GAN.000024	okkes.yilmaz	8.01.2026 11:22	irmak.kozlu	27.01.2026 13:09	Muhtelif Üretim Giderleri- (Merkez)%10			NEYUR KİMYA TEMİZLİK SANAYİ TİCARET LİMİTED ŞİRKETİ		MAVİ GÜÇ KİREÇ SÖKÜCÜ	6	AD	30	TL	85	510	*			
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gaziantep	Gaziantep	HİZMET	730.01.030	TEMİZLİK MALZEMELERİ	T.032.000.000014	antepgıda	6.01.2026 11:42	okkes.yilmaz	8.01.2026 11:19	Muhtelif Üretim Giderleri- (Merkez)%10	S.ACM.GAN.000024	okkes.yilmaz	8.01.2026 11:22	irmak.kozlu	27.01.2026 13:09	Muhtelif Üretim Giderleri- (Merkez)%10			NEYUR KİMYA TEMİZLİK SANAYİ TİCARET LİMİTED ŞİRKETİ		METAL SÜPÜRGE SAPI	10	AD	30	TL	30	300	*			
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gaziantep	Gaziantep	HİZMET	730.01.030	TEMİZLİK MALZEMELERİ	T.032.000.000014	antepgıda	6.01.2026 11:42	okkes.yilmaz	8.01.2026 11:19	Muhtelif Üretim Giderleri- (Merkez)%10	S.ACM.GAN.000024	okkes.yilmaz	8.01.2026 11:22	irmak.kozlu	27.01.2026 13:09	Muhtelif Üretim Giderleri- (Merkez)%10			NEYUR KİMYA TEMİZLİK SANAYİ TİCARET LİMİTED ŞİRKETİ		SÜPÜRGE 	10	AD	30	TL	30	300	*			
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gaziantep	Gaziantep	HİZMET	730.01.030	TEMİZLİK MALZEMELERİ	T.032.000.000014	antepgıda	6.01.2026 11:42	okkes.yilmaz	8.01.2026 11:19	Muhtelif Üretim Giderleri- (Merkez)%10	S.ACM.GAN.000024	okkes.yilmaz	8.01.2026 11:22	irmak.kozlu	27.01.2026 13:09	Muhtelif Üretim Giderleri- (Merkez)%10			NEYUR KİMYA TEMİZLİK SANAYİ TİCARET LİMİTED ŞİRKETİ		RENKSİZ KOKUSUZ YÜZEY TEMİZLEYİCİ (30 KG)	2	AD	30	TL	520	1040	*			
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gönen	Gönen	HİZMET	730.05.048	E-TİCARET	T.032.003.000025	tunahan.ak	8.01.2026 09:28	ufuk.kiranli	8.01.2026 09:57	Mutfak Giderleri İşletme Gönen - %18	S.ACM.GNN.000098	Semih Mutlu	8.01.2026 12:29	ali.baplı	13.01.2026 15:20	Mutfak Giderleri İşletme Gönen - %18			HERA ENDÜSTRİYEL MUTFAK SAN. VE TİC. LTD. ŞTİ.		SANAYİ TİPİ ELLE ÇIRPICI ( 40 CM ) KROM	3	AD	01	TL	320,833333	962,5	khairullah.taj	20.01.2026 11:38	14.01.2026 00:00	FKC2026000000002
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gönen	Gönen	HİZMET	730.05.048	E-TİCARET	T.032.003.000026	tunahan.ak	8.01.2026 09:29	ufuk.kiranli	8.01.2026 09:57	Mutfak Giderleri İşletme Gönen - %18	S.ACM.GNN.000099	Semih Mutlu	8.01.2026 12:30	ali.baplı	13.01.2026 15:21	Mutfak Giderleri İşletme Gönen - %18			MUTFAKKİTAP YAYINCILIK İNŞ. TİC. VE SAN. LTD. ŞTİ.		SANAYİ TİPİ SÜZGEÇLİ KAŞIK ( 45 CM ) KROM 	2	AD	01	TL	700	1400	khairullah.taj	12.01.2026 15:35	8.01.2026 00:00	MKF2026000000040
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gönen	Gönen	HİZMET	730.05.048	E-TİCARET	T.032.000.000047	tunahan.ak	8.01.2026 09:32	ufuk.kiranli	8.01.2026 09:57	Mutfak Giderleri İşletme Gönen - %18	S.ACM.GNN.000100	Semih Mutlu	8.01.2026 12:30	ali.baplı	13.01.2026 15:21	Mutfak Giderleri İşletme Gönen - %18			ABDURRAHİM ERGİN		SANAYİ TİPİ SERVİS KAŞIĞI NO :3 ( 50 CM ) KROM 	2	AD	01	TL	458,333333	916,67	*			
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gönen	Gönen	HİZMET	730.05.048	E-TİCARET	T.032.003.000028	tunahan.ak	8.01.2026 09:35	ufuk.kiranli	8.01.2026 09:57	Mutfak Giderleri İşletme Gönen - %18	S.ACM.GNN.000101	Semih Mutlu	8.01.2026 12:31	ali.baplı	13.01.2026 15:21	Mutfak Giderleri İşletme Gönen - %18			TOLGA ŞEN		SANAYİ TİPİ ÇİFT KULPLU SÜZGEÇ ( ÇAP 50 CM ) KROM	2	AD	01	TL	2026	4052	*			
32	2022-2026 ACEMOĞLU GIDA SAN. VE TİC. A.Ş.	Gönen	Gönen	HİZMET	730.05.048	E-TİCARET	T.032.000.000049	tunahan.ak	8.01.2026 09:37	ufuk.kiranli	8.01.2026 09:58	Mutfak Giderleri İşletme Gönen - %18	S.ACM.GNN.000102	Semih Mutlu	8.01.2026 12:33	ali.baplı	13.01.2026 15:21	Mutfak Giderleri İşletme Gönen - %18			ÇELİKAY ENDÜSTRİYEL MAKİNE SAN. VE TİC. A.Ş.		SANAYİ TİPİ TEK KULPLU SÜZGEÇ (32 CM ) KROM 	2	AD	01	TL	600	1200	*			
